#IATA	size	name	lat long	country_code	city	pop	heuristic	1	2	3
ASH	large_airport	Ashburn Airport	39.043611 -77.4875	US	Ashburn	43511 0 0 0
AMX	large_airport	Amsterdam Airport Schiphol	52.3086013794 4.7638897896	NL	Amsterdam	741636 0 0 0 
AMS	large_airport	Amsterdam Airport Schiphol	52.3086013794 4.7638897896	NL	Amsterdam	741636 0 0 0 
AMZ	large_airport	Amsterdam Airport Schiphol	52.3086013794 4.7638897896	NL	Amsterdam	741636 0 0 0 
PIX	large_airport	San Francisco International Airport	37.6189994812 -122.375	US	San Francisco	805235 0 -122.389979 37.615223
CHI	large_airport	Chicago Midway International Airport	41.7859992981 -87.7524032593	US	Chicago	2695598 0 -87.7521884 41.7867759
HKX	large_airport	Chek Lap Kok International Airport	22.308889 113.914722	HK	Hong Kong	7012738 0 113.9184808 22.308047
WEL	large_airport	Wellington International Airport	-41.3272018433 174.804992676	NZ	Wellington	381900 0 174.8075984 -41.3275941
TOK		Tokyo	35.673343 139.710388	JP	Tokyo	8336599 0 139.6917064 35.6894875
TAI	large_airport	Taiwan Taoyuan International Airport	25.0776996613 121.233001709	TW	Taipei	7871900 0 121.5598345 25.091075
KAT	medium_airport	Kathmandu	27.7 85.333333	NE	Kathmandu	1006656 0 0 0
WIE	large_airport	Vienna International Airport	48.1102981567 16.5697002411	AT	Vienna	1691468 0 16.5665751 48.1158333
NIX	large_airport	Oslo Gardermoen Airport	60.193901062 11.100399971	NO	Oslo	580000 0 11.1004153 60.1975501
RWX	large_airport	Kigali Airport	-1.943889 30.059444	X	Kigali	851024 0 0 0
DEX		Frankfurt-am-Main	50.121212 8.6365638	DE	Frankfurt-am-Main	650000 0 8.6075693 50.1054773
PAR	large_airport	Charles de Gaulle International Airport	49.0127983093 2.5499999523	FR	Paris	2138551 0 2.5711 49.004
AAL	large_airport	Aalborg Airport	57.0927589138 9.8492431641	DK	Aalborg	122219 0 0 0 
AAN	medium_airport	Al Ain International Airport	24.2616996765 55.6091995239	AE	Al Ain	408733 0 0 0 
AAO	medium_airport	Anaco Airport	9.4302253723 -64.4707260132	VE	Anaco	117596 0 0 0 
AAQ	medium_airport	Anapa Airport	45.0021018982 37.3473014832	RU	Anapa	53600 0 0 0 
AAR	medium_airport	Aarhus Airport	56.2999992371 10.6190004349	DK	Aarhus	237551 0 0 0 
AAT	medium_airport	Altay Air Base	47.7498855591 88.0858078003	CN	Altay	139341 0 0 0 
AAV	medium_airport	Allah Valley Airport	6.3668198586 124.7509994507	PH	Surallah	31089 0 0 0 
ABA	medium_airport	Abakan Airport	53.7400016785 91.3850021362	RU	Abakan	167289 0 0 0 
ABB	medium_airport	Asaba International Airport	6.2033333333 6.6588888889	NG	Asaba	73374 0 0 0 
ABC	medium_airport	Albacete-Los Llanos Airport	38.9485015869 -1.8635200262	ES	Albacete	169716 0 0 0 
ABD	medium_airport	Abadan Airport	30.371099472 48.2282981873	IR	Abadan	370180 0 0 0 
ABE	medium_airport	Lehigh Valley International Airport	40.6520996094 -75.4408035278	US	Allentown	118032 0 0 0 
ABI	medium_airport	Abilene Regional Airport	32.4113006592 -99.6819000244	US	Abilene	117063 0 0 0 
ABJ	medium_airport	Port Bouet Airport	5.2613902092 -3.9262900352	CI	Abidjan	3677115 0 0 0 
ABL	medium_airport	Ambler Airport	67.106300354 -157.856994629	US	Ambler	6417 0 0 0 
ABQ	large_airport	Albuquerque International Sunport Airport	35.0401992798 -106.6090011597	US	Albuquerque	545852 0 0 0 
ABR	medium_airport	Aberdeen Regional Airport	45.4491004944 -98.4217987061	US	Aberdeen	26091 0 0 0 
ABS	medium_airport	Abu Simbel Airport	22.3759994507 31.611700058	EG	Abu Simbel	5000 0 0 0 
ABV	large_airport	Nnamdi Azikiwe International Airport	9.0067901611 7.2631697655	NG	Abuja	590400 0 0 0 
ABX	medium_airport	Albury Airport	-36.0677986145 146.9579925537	AU	Albury	45627 0 0 0 
ABY	medium_airport	Southwest Georgia Regional Airport	31.5354995728 -84.1945037842	US	Albany	77434 0 0 0 
ABZ	large_airport	Aberdeen Dyce Airport	57.2019004822 -2.1977798939	GB	Aberdeen	183790 0 0 0 
ACA	large_airport	General Juan N Alvarez International Airport	16.7570991516 -99.7539978027	MX	Acapulco	652136 0 0 0 
ACC	large_airport	Kotoka International Airport	5.6051898003 -0.1667860001	GH	Accra	1963264 0 0 0 
ACJ	medium_airport	Anuradhapura Air Force Base	8.30148983 80.4279022217	LK	Anuradhapura	60943 0 0 0 
ACK	medium_airport	Nantucket Memorial Airport	41.25310135 -70.06020355	US	Nantucket	7446 0 0 0 
ACS	medium_airport	Achinsk Airport	56.2682991028 90.5708007813	RU	Achinsk	117634 0 0 0 
ACT	medium_airport	Waco Regional Airport	31.6112995148 -97.2304992676	US	Waco	124805 0 0 0 
ACV	medium_airport	Arcata Airport	40.978099823 -124.1090011597	US	Arcata/Eureka	27191 3 0 0 
ACY	medium_airport	Atlantic City International Airport	39.4575996399 -74.5772018433	US	Atlantic City	39558 0 0 0 
ADA	large_airport	Adana Airport	36.9822006226 35.2803993225	TR	Adana	1248988 0 0 0 
ADB	large_airport	Adnan Menderes International Airport	38.2924003601 27.156999588	TR	İzmir	2500603 0 0 0 
ADD	large_airport	Bole International Airport	8.9778900147 38.7993011475	ET	Addis Ababa	2757729 0 0 0 
ADE	medium_airport	Aden International Airport	12.8295001984 45.0288009644	YE	Aden	550602 0 0 0 
ADF	medium_airport	Adıyaman Airport	37.7313995361 38.4688987732	TR	Adıyaman	223744 0 0 0 
ADJ	medium_airport	Amman-Marka International Airport	31.972700119 35.9916000366	JO	Amman	1275857 0 0 0 
ADL	medium_airport	Adelaide International Airport	-34.9449996948 138.5310058594	AU	Adelaide	1225235 0 0 0 
ADP	medium_airport	Gal Oya Airport	7.33776 81.62594	LK	Ampara	18348 0 0 0 
ADQ	medium_airport	Kodiak Airport	57.75 -152.4940033	US	Kodiak	6130 0 0 0 
ADU	medium_airport	Ardabil Airport	38.3256988525 48.4244003296	IR	Ardabil	410753 0 0 0 
ADW	large_airport	Andrews Air Force Base	38.810798645 -76.8669967651	US	Camp Springs	19096 0 0 0 
ADX	medium_airport	RAF Leuchars	56.3728981018 -2.8684399128	GB	St. Andrews	15435 0 0 0 
ADZ	medium_airport	Gustavo Rojas Pinilla International Airport	12.5836 -81.7112	CO	San Andrés	58257 2 0 0 
AEB	medium_airport	Baise Youjiang Airport	23.7206001282 106.959999084	CN	Baise	90603 0 0 0 
AEP	medium_airport	Jorge Newbery Airpark	-34.5592 -58.4156	AR	Buenos Aires	13076300 0 0 0 
AER	large_airport	Sochi International Airport	43.4499015808 39.9566001892	RU	Sochi	327608 0 0 0 
AES	medium_airport	Ålesund Airport	62.5625 6.119699955	NO	Ålesund	44096 0 0 0 
AEX	medium_airport	Alexandria International Airport	31.3274002075 -92.5497970581	US	Alexandria	47723 0 0 0 
AEY	medium_airport	Akureyri Airport	65.6600036621 -18.0727005005	IS	Akureyri	17693 0 0 0 
AFA	medium_airport	Suboficial Ay Santiago Germano Airport	-34.5882987976 -68.4039001465	AR	San Rafael	109163 0 0 0 
AFW	large_airport	Fort Worth Alliance Airport	32.9875984192 -97.3188018799	US	Fort Worth	741206 0 0 0 
