hop_name,location,code,ptr_lat,ptr_lon,ptr_city
janet-bckp.mx1.lon2.uk.geant.net,lon|uk,GB-ENG,51.4706,-0.461941,London
lag-2-0.rt0.lon.uk.geant.net,lon|uk,GB-ENG,51.4706,-0.461941,London
lag-4-0.rt0.ams.nl.geant.net,ams|nl,NL-NH,52.308601,4.76389,Amsterdam
ae5-0.rt1.ams.nl.geant.net,ams|nl,NL-NH,52.308601,4.76389,Amsterdam
10-2-1.bear1.Manchesteruk1.Level3.net,manchesteruk,GB,53.48095,-2.23743,Manchester
janet-ias-gw-1.lon.uk.geant.net,lon|uk,GB-ENG,51.4706,-0.461941,London
lo0-100.BSTNMA-VFTTP-361.verizon-gni.net,bstnma,,,,
BE45.clbr02.hkg12.as3491.net,hkg,HK,22.320304,114.198074,Hong Kong
be2871.ccr42.lon13.atlas.cogentco.com,lon,GB-ENG,51.4706,-0.461941,London
be12489.ccr42.par01.atlas.cogentco.com,par,FR-IDF,49.012798,2.55,Paris
be2922.rcr21.b032899-0.par01.atlas.cogentco.com,par,FR-IDF,49.012798,2.55,Paris
gi4-16.ccr01.par07.atlas.cogentco.com,par,FR-IDF,49.012798,2.55,Paris
gi0-0-0-5.nr11.b015526-1.par01.atlas.cogentco.com,par,FR-IDF,49.012798,2.55,Paris
BE40.br05.sin03.as3491.net,sin,SG-04,1.35019,103.994003,Singapore
CHOOPA-LLC.ear2.Frankfurt1.Level3.net,frankfurt,DE-HE,50.11552,8.68417,Frankfurt am Main
be2780.ccr32.mrs02.atlas.cogentco.com,mrs,FR-PAC,43.439272,5.221424,Marseille
be2919.ccr31.sin01.atlas.cogentco.com,sin,SG-04,1.35019,103.994003,Singapore
be2428.ccr51.per01.atlas.cogentco.com,per,AU-WA,-31.9403,115.967003,Perth
be2868.ccr41.lon13.atlas.cogentco.com,lon,GB-ENG,51.4706,-0.461941,London
be12497.ccr41.par01.atlas.cogentco.com,par,FR-IDF,49.012798,2.55,Paris
be2779.ccr31.mrs02.atlas.cogentco.com,mrs,FR-PAC,43.439272,5.221424,Marseille
be2914.ccr31.sin01.atlas.cogentco.com,sin,SG-04,1.35019,103.994003,Singapore
be2317.ccr41.jfk02.atlas.cogentco.com,jfk,US-NY,40.639801,-73.7789,New York
port-channel8073.ccr91.dca04.atlas.cogentco.com,dca,US-DC,38.8521,-77.037697,Washington
be8247.ccr41.dca01.atlas.cogentco.com,dca,US-DC,38.8521,-77.037697,Washington
